N,анаграмма,наводка,кол-во букв,с_наводкой,без_навод,повторное,наводка_дл,анаграмма_дл,решаемость,ВО_сред,Condition,RUN,CUE,TARGET,MEMORY_REPEAT
0,гвоздь,-,6,-,ОЗВГДЬ,ВДОЗЬГ,2000,20000,-,-,0,Run0,gvozd5.jpg,gvozd6.jpg,ВДОЗЬГ
0,кувшин,-,6,-,КШУИНВ,УШКИВН,2000,20000,-,-,0,Run0,kuvshin5.jpg,kuvshin6.jpg,УШКИВН
0,журнал,-,6,-,НЛРУАЖ,ЛУЖНРА,2000,20000,-,-,0,Run0,zhurnal5.jpg,zhurnal6.jpg,ЛУЖНРА
1,земля,змея,5,МЕЯЛЗ,МЛЗЕЯ,ЛЕЗЯМ,2000,20000,0.97,9.1,1,Run1,zemlya1,zemlya2,ЛЕЗЯМ
2,флирт,лифт,5,ИФТРЛ,РЛТИФ,ТФРЛИ,2000,20000,0.82,12.65,1,Run1,flirt1,flirt2,ТФРЛИ
3,пудра,пруд,5,РУДАП,РУПДА,АПУРД,2000,20000,0.70,12.86,1,Run1,pudra1,pudra2,АПУРД
4,кража,жара,5,АРАКЖ,ААЖКР,РААЖК,2000,20000,0.60,10.23,1,Run1,krazha1,krazha2,РААЖК
5,голубь,уголь,6,ОЛЬБУГ,ОЛГУБЬ,БЛГУЬО,2000,20000,0.91,8.62,1,Run1,golub1,golub2,БЛГУЬО
6,куртка,турка,6,РКАКТУ,КУКРТА,УАТКРК,2000,20000,0.79,10.17,1,Run1,kurtka1,kurtka2,УАТКРК
7,кабина,банка,6,НКАИБА,НИАКАБ,АБКАИН,2000,20000,0.60,11.26,1,Run1,kabina1,kabina2,АБКАИН
8,дворец,ведро,6,ВЕДРОЦ,ВДЕРЦО,ЦВОЕДР,2000,20000,0.48,15.95,1,Run1,dvorec1,dvorec2,ЦВОЕДР
9,родина,радио,6,ДИОНРА,ИОАНРД,НОАДИР,2000,20000,0.39,12.67,1,Run1,rodina1,rodina2,НОАДИР
10,олень,ноль,5,ОЛЬЕН,ОЬЕНЛ,ЕНЛЬО,2000,20000,0.97,11.82,2,Run1,olen3,olen4,ЕНЛЬО
11,диван,вина,5,ИНАДВ,ИДАВН,НВИАД,2000,20000,0.80,13.48,2,Run1,divan3,divan4,НВИАД
12,вожак,кожа,5,КОЖАВ,ОАКЖВ,ЖАВОК,2000,20000,0.67,10.55,2,Run1,vozhak3,vozhak4,ЖАВОК
13,топаз,поза,5,ПОЗАТ,ПТАОЗ,ЗПАТО,2000,20000,0.61,13.26,2,Run1,topaz3,topaz4,ЗПАТО
14,ноготь,огонь,6,ГОНЬТО,ГТОЬНО,ТООГЬН,2000,20000,0.94,13.96,2,Run1,nogot3,nogot4,ТООГЬН
15,карман,марка,6,МАРКАН,КАРНАМ,НКМАРА,2000,20000,0.76,12.43,2,Run1,karman3,karman4,НКМАРА
16,вулкан,лунка,6,УНКАВЛ,НКЛАУВ,КЛУНВА,2000,20000,0.67,12.24,2,Run1,vulcan3,vulcan4,КЛУНВА
17,кнопка,копна,6,ПНАККО,ПКОКНА,АНККПО,2000,20000,0.48,13.78,2,Run1,knopka3,knopka4,АНККПО
18,грудь,друг,5,ДРУГЬ,ГДУРЬ,УГДЬР,2000,20000,0.94,9.28,1,Run1,grud5,grud6,УГДЬР
19,седло,след,5,ЕДОСЛ,ЕЛСДО,ДЛСОЕ,2000,20000,0.79,11.7,2,Run1,sedlo5,sedlo6,ДЛСОЕ
20,купол,укол,5,КОЛПУ,КЛПОУ,ПКОУЛ,2000,20000,0.67,12.48,1,Run1,kupol5,kupol6,ПКОУЛ
21,крупа,паук,5,ПАУКР,УАРКП,РКПУА,2000,20000,0.60,16.73,2,Run1,krupa5,krupa6,РКПУА
22,машина,шаман,6,АМАНИШ,ИАШНМА,ШНАМАИ ,2000,20000,0.91,10.09,1,Run1,mashina5,mashina6,ШНАМАИ 
23,колесо,колос,6,КОЛОСЕ,СЛОКЕО,ЕСОЛКО,2000,20000,0.76,14.64,2,Run1,koleso5,koleso6,ЕСОЛКО
