number,prime_awareness,prime_difficulty,prime_correctness,target_difficulty,target_correctness,fixation_time,prime_time,prime,mask_time,mask,target
1,осознаваемый,простой,неверно,простой,верно,600,300,4*6=28,250,,8*8=64
2,осознаваемый,простой,неверно,простой,неверно,600,300,3*8=32,250,,7*7=42
3,осознаваемый,простой,неверно,простой,верно,600,300,9*2=16,250,,3*6=18
4,осознаваемый,простой,неверно,простой,неверно,600,300,8*5=45,250,,5*7=30
5,осознаваемый,простой,верно,простой,неверно,600,300,9*6=54,250,,7*4=24
6,осознаваемый,простой,верно,простой,неверно,600,300,5*5=25,250,,2*6=16
7,осознаваемый,простой,неверно,простой,верно,600,300,5*3=16,250,,7*5=35
8,осознаваемый,простой,верно,простой,верно,600,300,4*6=24,250,,9*8=72
9,осознаваемый,простой,неверно,простой,верно,600,300,6*7=48,250,,6*9=54
10,осознаваемый,простой,неверно,простой,неверно,600,300,9*5=40,250,,4*7=26
11,осознаваемый,простой,неверно,простой,верно,600,300,8*6=42,250,,9*5=45
12,осознаваемый,простой,верно,простой,неверно,600,300,7*9=63,250,,4*4=18
13,осознаваемый,простой,неверно,простой,верно,600,300,5*6=35,250,,7*2=14
14,осознаваемый,простой,верно,простой,неверно,600,300,3*4=12,250,,9*3=24
15,осознаваемый,простой,неверно,простой,верно,600,300,2*9=21,250,,4*5=20
16,осознаваемый,простой,верно,простой,верно,600,300,8*6=48,250,,5*7=35
17,осознаваемый,простой,верно,простой,неверно,600,300,4*7=28,250,,6*4=28
18,осознаваемый,простой,неверно,простой,неверно,600,300,9*7=64,250,,7*9=72
19,осознаваемый,простой,неверно,простой,неверно,600,300,2*7=15,250,,8*3=28
20,осознаваемый,простой,верно,простой,неверно,600,300,5*8=40,250,,6*3=21
21,осознаваемый,простой,верно,простой,верно,600,300,7*7=49,250,,4*9=36
22,осознаваемый,простой,верно,простой,верно,600,300,6*8=48,250,,8*2=16
23,осознаваемый,простой,неверно,простой,неверно,600,300,4*5=25,250,,8*8=63
24,осознаваемый,простой,верно,простой,неверно,600,300,6*4=24,250,,9*4=32
25,осознаваемый,простой,неверно,простой,верно,600,300,7*5=25,250,,9*4=36
26,осознаваемый,простой,верно,простой,верно,600,300,2*5=10,250,,6*3=18
27,осознаваемый,простой,неверно,простой,неверно,600,300,7*6=49,250,,8*4=36
28,осознаваемый,простой,неверно,простой,верно,600,300,8*7=54,250,,8*9=72
29,осознаваемый,простой,неверно,простой,неверно,600,300,7*2=16,250,,8*9=63
30,осознаваемый,простой,неверно,простой,верно,600,300,4*3=16,250,,2*6=12
31,осознаваемый,простой,верно,простой,верно,600,300,7*3=21,250,,4*3=12
32,осознаваемый,простой,верно,простой,верно,600,300,8*5=40,250,,3*9=27
33,осознаваемый,простой,верно,простой,неверно,600,300,7*8=56,250,,9*9=72
34,осознаваемый,простой,верно,простой,неверно,600,300,6*5=30,250,,7*3=24
35,осознаваемый,простой,неверно,простой,неверно,600,300,9*8=63,250,,5*4=25
36,осознаваемый,простой,неверно,простой,верно,600,300,3*5=25,250,,7*8=56
37,осознаваемый,простой,неверно,простой,неверно,600,300,4*8=30,250,,5*5=35
38,осознаваемый,простой,верно,простой,неверно,600,300,5*4=20,250,,3*7=24
39,осознаваемый,простой,верно,простой,верно,600,300,9*9=81,250,,3*5=15
40,осознаваемый,простой,неверно,простой,верно,600,300,6*3=16,250,,8*3=24
41,осознаваемый,простой,верно,простой,неверно,600,300,2*9=18,250,,5*2=15
42,осознаваемый,простой,неверно,простой,неверно,600,300,5*8=42,250,,6*9=42
43,осознаваемый,простой,неверно,простой,верно,600,300,5*9=40,250,,8*4=32
44,осознаваемый,простой,верно,простой,верно,600,300,6*2=12,250,,4*8=32
45,осознаваемый,простой,верно,простой,неверно,600,300,9*7=63,250,,6*5=35
46,осознаваемый,простой,неверно,простой,неверно,600,300,9*6=56,250,,6*6=30
47,осознаваемый,простой,верно,простой,верно,600,300,7*6=42,250,,6*7=42
48,осознаваемый,простой,верно,простой,верно,600,300,3*8=24,250,,8*7=56
49,осознаваемый,простой,неверно,простой,верно,600,300,3*6=12,250,,2*7=14
50,осознаваемый,простой,неверно,простой,неверно,600,300,7*8=64,250,,4*9=32
51,осознаваемый,простой,верно,простой,неверно,600,300,9*3=27,250,,2*5=12
52,осознаваемый,простой,неверно,простой,неверно,600,300,3*4=15,250,,7*8=54
53,осознаваемый,простой,неверно,простой,верно,600,300,6*2=18,250,,6*6=36
54,осознаваемый,простой,верно,простой,неверно,600,300,5*9=45,250,,8*2=12
55,осознаваемый,простой,верно,простой,верно,600,300,6*3=18,250,,5*6=30
56,осознаваемый,простой,верно,простой,верно,600,300,9*2=18,250,,5*2=10
57,осознаваемый,простой,верно,простой,неверно,600,300,7*4=28,250,,3*9=21
58,осознаваемый,простой,верно,простой,верно,600,300,5*3=15,250,,4*4=16
59,осознаваемый,простой,неверно,простой,неверно,600,300,6*8=56,250,,2*8=18
60,осознаваемый,простой,верно,простой,верно,600,300,2*8=16,250,,3*7=21
